dr_no,date_rptd,date_occ,time_occ,area,area_name,rpt_dist_no,part_1_2,crm_cd,crm_cd_desc,mocodes,vict_age,vict_sex,vict_descent,premis_cd,premis_desc,weapon_used_cd,weapon_desc,status,status_desc,crm_cd_1,location,lat,lon,crm_cd_2,cross_street
200104534,2020-01-08,2020-01-08,0950,01,Central,0156,2,624,BATTERY - SIMPLE ASSAULT,0416 1218 1822 0913,53,M,B,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,500    WALL                         ST,34.0449,-118.2458,,
200104545,2020-01-07,2020-01-02,0510,01,Central,0192,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",2032 0344,31,M,B,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,341,PICO                         BL,34.0389,-118.2643,,GRAND
200709456,2020-05-20,2020-05-20,1250,07,Wilshire,0773,1,330,BURGLARY FROM VEHICLE,1300 1309 1607 0344 0326,53,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,330,1800 S  COCHRAN                      AV,34.0443,-118.3538,,
200104547,2020-01-08,2020-01-07,1753,01,Central,0182,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 1607 1822 1606,0,M,O,118,CONSTRUCTION SITE,,,IC,Invest Cont,341,1100 S  HOPE                         ST,34.0423,-118.2631,,
200104548,2020-01-07,2020-01-06,1730,01,Central,0159,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 2032,49,M,A,210,RESTAURANT/FAST FOOD,,,IC,Invest Cont,440,400 S  HEWITT                       ST,34.0436,-118.2354,,
200104549,2020-01-08,2020-01-06,0100,01,Central,0147,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1218 0344 2034,38,M,B,101,STREET,,,IC,Invest Cont,440,4TH                          ST,34.0458,-118.243,,WALL
200104550,2020-01-08,2020-01-08,0845,01,Central,0166,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0906 0329 1402 0447,55,M,W,517,MISSIONS/SHELTERS,,,IC,Invest Cont,740,600 S  SAN PEDRO                    ST,34.0421,-118.2469,998,
200104551,2020-01-08,2020-01-08,1300,01,Central,0192,1,761,BRANDISH WEAPON,0334 1606 1822 1402,43,M,H,118,CONSTRUCTION SITE,215,MACHETE,IC,Invest Cont,761,1400 S  FIGUEROA                     ST,34.0393,-118.2689,998,
211613998,2021-11-08,2020-11-01,1845,16,Foothill,1635,2,354,THEFT OF IDENTITY,,64,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,10500    WOLDRICH                     ST,34.2719,-118.3592,,
200104556,2020-01-08,2020-01-08,0200,01,Central,0147,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 2034 1822 0377 1218,56,M,O,102,SIDEWALK,,,IC,Invest Cont,440,300 E  5TH                          ST,34.0453,-118.2443,,
200104558,2020-01-08,2020-01-08,0820,01,Central,0164,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1814 0416 0411 0445,34,M,B,101,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,626,7TH,34.0433,-118.2504,,LOS ANGELES
200104573,2020-01-08,2020-01-08,0540,01,Central,0138,1,330,BURGLARY FROM VEHICLE,1300 0344,30,M,B,101,STREET,,,IC,Invest Cont,330,400 E  3RD                          ST,34.0473,-118.2425,,
200104576,2020-01-08,2020-01-08,1600,01,Central,0161,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 2032 1822,35,M,A,203,OTHER BUSINESS,,,IC,Invest Cont,440,700 S  FIGUEROA                     ST,34.0483,-118.2631,,
200104577,2020-01-08,2020-01-08,1900,01,Central,0192,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,VENICE,34.0372,-118.2694,,FLOWER
200104578,2020-01-09,2020-01-07,2350,01,Central,0138,2,888,TRESPASSING,2004 0444 2001 2003 1822 2002,36,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,888,200 S  SAN PEDRO                    ST,34.0493,-118.2418,,
200104579,2020-01-09,2020-01-07,1920,01,Central,0111,1,310,BURGLARY,1610 1822 0344 0329 0321,25,F,W,719,MEDICAL/DENTAL OFFICES,,,IC,Invest Cont,310,800 N  HILL                         ST,34.0628,-118.2395,,
200104580,2020-01-09,2020-01-08,1630,01,Central,0152,1,480,BIKE - STOLEN,1822 1202 0344,67,M,W,210,RESTAURANT/FAST FOOD,,,IC,Invest Cont,480,600 W  7TH                          ST,34.0491,-118.2558,,
200104582,2020-01-09,2020-01-06,0800,01,Central,0176,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1822 0344 2032,37,M,W,102,SIDEWALK,,,IC,Invest Cont,341,700 S  LOS ANGELES                  ST,34.0433,-118.2504,,
200101185,2020-12-28,2020-12-28,1810,01,Central,0174,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1309 1414 0913 1100 1402 0430,57,M,B,108,PARKING LOT,109,SEMI-AUTOMATIC PISTOL,AA,Adult Arrest,230,700 S  SPRING                       ST,34.044,-118.2528,998,
200104584,2020-01-08,2020-01-07,0001,01,Central,0162,2,662,"BUNCO, GRAND THEFT",0701 0800,40,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,662,800 S  HILL                         ST,34.0462,-118.2585,,
200104586,2020-01-08,2020-01-08,1610,01,Central,0119,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 0910 2032 1822 1202,65,M,B,809,METROLINK TRAIN,,,IC,Invest Cont,440,800 N  ALAMEDA                      ST,34.0563,-118.2374,,
201014375,2020-10-24,2020-10-23,2330,10,West Valley,1025,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1822 1420,0,M,W,210,RESTAURANT/FAST FOOD,,,IC,Invest Cont,740,6800    RESEDA                       BL,34.1939,-118.536,,
200104588,2020-01-09,2020-01-09,0001,01,Central,0119,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 0910 2032 1822,59,F,A,834,LA UNION STATION (NOT LINE SPECIFIC),,,IC,Invest Cont,440,800 N  ALAMEDA                      ST,34.0563,-118.2374,,
200104590,2020-01-08,2020-01-08,1750,01,Central,0153,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325,34,M,B,403,DRUG STORE,,,IC,Invest Cont,442,500 S  BROADWAY,34.0481,-118.2507,,
200104594,2020-01-08,2020-01-08,2145,01,Central,0152,2,624,BATTERY - SIMPLE ASSAULT,0910 0416 2004 1822,20,M,H,903,MTA - RED LINE - 7TH AND METRO CENTER,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,600 S  FIGUEROA                     ST,34.0509,-118.2585,,
200104598,2020-01-09,2020-01-07,2200,01,Central,0105,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1822 1202,69,F,A,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,745,400    SAVOY                        ST,34.0695,-118.2324,,
200104603,2020-01-09,2020-01-09,0700,01,Central,0119,1,480,BIKE - STOLEN,0910 0344 2004 2052 1414,0,X,X,900,MTA - RED LINE - UNION STATION,,,AA,Adult Arrest,480,800 N  ALAMEDA                      ST,34.0563,-118.2374,,
200106170,2020-01-31,2020-01-31,2145,01,Central,0124,2,946,OTHER MISCELLANEOUS CRIME,1501 1300,0,M,O,101,STREET,,,AA,Adult Arrest,946,100 W  1ST                          ST,34.0522,-118.2434,,
200104609,2020-01-09,2020-01-07,1555,01,Central,0119,1,220,ATTEMPTED ROBBERY,0910 1822 0305 1414,58,F,W,900,MTA - RED LINE - UNION STATION,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,220,800 N  ALAMEDA                      ST,34.0563,-118.2374,,
200104613,2020-01-08,2020-01-06,0800,01,Central,0182,1,330,BURGLARY FROM VEHICLE,0386 0344,33,F,H,123,PARKING UNDERGROUND/BUILDING,,,IC,Invest Cont,330,900 S  HILL                         ST,34.042,-118.2625,,
200104616,2020-01-07,2020-01-07,1930,01,Central,0192,1,330,BURGLARY FROM VEHICLE,1307 0344,28,F,K,101,STREET,,,IC,Invest Cont,330,W  17TH                         ST,34.0345,-118.266,,S  HILL                         ST
200104617,2020-01-09,2020-01-01,1415,01,Central,0162,1,330,BURGLARY FROM VEHICLE,1307 0344,31,M,B,707,GARAGE/CARPORT,,,IC,Invest Cont,330,700 S  GRAND                        AV,34.0473,-118.2566,,
200104619,2020-01-08,2020-01-05,1300,01,Central,0138,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0397 0344 0947,38,M,C,102,SIDEWALK,,,IC,Invest Cont,341,200 S  SAN PEDRO                    ST,34.0493,-118.2418,,
200604186,2020-01-05,2020-01-05,1900,06,Hollywood,0636,2,649,DOCUMENT FORGERY / STOLEN FELONY,1402,0,X,X,101,STREET,,,AA,Adult Arrest,649,6500    YUCCA                        ST,34.1039,-118.3318,998,
200218333,2020-12-07,2020-12-07,1700,02,Rampart,0251,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1814 0432 0400 1240 0913,25,F,W,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,434,WILSHIRE,34.0609,-118.2823,626,RAMPART
200610130,2020-05-11,2020-05-11,1130,06,Hollywood,0645,1,210,ROBBERY,0325 0601 0104 0400 0945 1822,0,X,X,401,MINI-MART,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,210,7000 W  SUNSET                       BL,34.098,-118.3416,,
200320020,2020-11-07,2020-11-07,1030,03,Southwest,0376,2,901,VIOLATION OF RESTRAINING ORDER,0913 2038 2000 1814,25,M,B,501,SINGLE FAMILY DWELLING,,,AO,Adult Other,901,3900    DENKER                       AV,34.0153,-118.3045,,
200104657,2020-01-09,2020-01-09,1015,01,Central,0111,2,624,BATTERY - SIMPLE ASSAULT,0917 0416 0447,34,F,H,202,LIQUOR STORE,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,624,700 N  MAIN                         ST,34.0583,-118.2378,,
200104658,2020-01-09,2020-01-09,0930,01,Central,0152,2,946,OTHER MISCELLANEOUS CRIME,0112 1414 1822,41,M,H,108,PARKING LOT,,,IC,Invest Cont,946,700    WILSHIRE                     BL,34.0487,-118.2571,,
200104660,2020-01-09,2020-01-08,2330,01,Central,0162,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,49,F,O,244,TOBACCO SHOP,,,IC,Invest Cont,740,400 W  8TH                          ST,34.0445,-118.2558,,
200104663,2020-01-09,2020-01-09,1539,01,Central,0162,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0344 2004,20,F,H,406,OTHER STORE,,,IC,Invest Cont,442,700 W  7TH                          ST,34.048,-118.2577,,
200104664,2020-01-09,2020-01-09,1900,01,Central,0156,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,0906 0913 2000 1814 0408 1218 2004,45,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,236,500    WALL                         ST,34.0449,-118.2458,,
200104670,2020-01-10,2020-01-09,2100,01,Central,0164,1,330,BURGLARY FROM VEHICLE,1609 0344 1307 0329 1822,30,F,W,101,STREET,,,IC,Invest Cont,330,6TH,34.0446,-118.249,,LOS ANGELES
200104673,2020-01-09,2020-01-01,1000,01,Central,0152,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 1822 0352,27,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,341,600 S  FLOWER                       ST,34.0502,-118.2574,,
200104674,2020-01-09,2020-01-09,2130,01,Central,0138,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2000 0411 0913 1402 1414 1814 0329,38,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",216,SCISSORS,AA,Adult Arrest,236,200 S  LOS ANGELES                  ST,34.0503,-118.2433,998,
200104682,2020-01-09,2020-01-09,1650,01,Central,0151,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 0947,32,M,W,744,HIGH-RISE BUILDING,,,IC,Invest Cont,440,1000    WILSHIRE                     BL,34.0511,-118.2608,,
200104683,2020-01-10,2020-01-06,1445,01,Central,0174,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0394 0344,39,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,440,E  8TH                          ST,34.0419,-118.2523,,S  LOS ANGELES                  ST
201610902,2020-07-09,2020-07-09,1755,16,Foothill,1675,1,210,ROBBERY,0344 0375,35,F,O,210,RESTAURANT/FAST FOOD,104,SHOTGUN,AA,Adult Arrest,210,8700    SUNLAND                      BL,34.2309,-118.3727,,
200104691,2020-01-09,2020-01-08,1900,01,Central,0111,1,350,"THEFT, PERSON",0344 0416 0377 1822 0305,64,F,W,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,350,ALPINE                       ST,34.0623,-118.2383,,BROADWAY                     ST
200104696,2020-01-10,2020-01-10,0855,01,Central,0166,2,624,BATTERY - SIMPLE ASSAULT,0416 1218 1822 1019,57,M,B,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,6TH,34.0428,-118.2461,,SAN JULIAN
200104697,2020-01-10,2020-01-09,1830,01,Central,0138,1,330,BURGLARY FROM VEHICLE,1609 0344 1307 1822 0329,34,F,W,108,PARKING LOT,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,330,300 E  2ND                          ST,34.0493,-118.2418,,
200104700,2020-01-10,2020-01-08,1845,01,Central,0185,1,330,BURGLARY FROM VEHICLE,0344 1609 1307 1822 0377 0329,29,M,W,108,PARKING LOT,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,330,900 S  BROADWAY,34.0423,-118.2561,,
200104702,2020-01-10,2020-01-10,0435,01,Central,0192,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1822 0416,0,X,X,701,HOSPITAL,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,745,1300 S  HOPE                         ST,34.0395,-118.2656,,
200104703,2020-01-01,2020-01-01,1400,01,Central,0119,1,330,BURGLARY FROM VEHICLE,1307 0344,27,M,W,108,PARKING LOT,,,IC,Invest Cont,330,700    CENTER                       ST,34.0536,-118.2313,,
200104704,2020-01-09,2020-01-09,2100,01,Central,0138,1,330,BURGLARY FROM VEHICLE,1307 0344,0,X,X,108,PARKING LOT,,,IC,Invest Cont,330,300 E  2ND                          ST,34.0493,-118.2418,,
200104706,2020-01-08,2020-01-08,1440,01,Central,0105,2,624,BATTERY - SIMPLE ASSAULT,0416 1822 1259 1309 1414 1251,17,M,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,COTTAGE HOME                 ST,34.0673,-118.2354,,N  BROADWAY
200104708,2020-01-08,2020-01-08,1430,01,Central,0105,2,624,BATTERY - SIMPLE ASSAULT,0416 1822,17,M,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,COTTAGE HOME                 ST,34.0673,-118.2354,,N  BROADWAY
212017732,2021-10-19,2020-07-05,0439,20,Olympic,2014,1,815,SEXUAL PENETRATION W/FOREIGN OBJECT,2034 2014 1822 0515 0522,26,F,W,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,310,100 S  NORMANDIE                    AV,34.0726,-118.3029,815,
200104711,2020-01-10,2020-01-08,2200,01,Central,0162,1,815,SEXUAL PENETRATION W/FOREIGN OBJECT,1822 1402 2004 0416 1601 0408 0409 1415 1218,32,F,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,815,7TH                          ST,34.0487,-118.2588,998,HOPE                         ST
200104713,2020-01-10,2020-01-10,1100,01,Central,0154,2,900,VIOLATION OF COURT ORDER,0913 1501,53,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,900,500 S  MAIN                         ST,34.0467,-118.2485,,
200104715,2020-01-10,2020-01-10,1045,01,Central,0159,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,FACTORY                      PL,34.0391,-118.2384,,ALAMEDA                      ST
211115965,2021-12-02,2020-05-13,0930,11,Northeast,1172,2,946,OTHER MISCELLANEOUS CRIME,1501,0,M,O,101,STREET,,,IC,Invest Cont,946,2200 W  FOX                          LN,34.0888,-118.2596,,
200104717,2020-01-10,2020-01-09,1130,01,Central,0159,1,330,BURGLARY FROM VEHICLE,0344 1609 1307 1822 0329,46,F,O,108,PARKING LOT,,,IC,Invest Cont,330,400 S  ALAMEDA                      ST,34.0433,-118.2381,,
200104718,2020-01-10,2020-01-10,1315,01,Central,0153,2,624,BATTERY - SIMPLE ASSAULT,0416 1822,55,F,B,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,5TH                          ST,34.0481,-118.2507,,BROADWAY
200104719,2020-01-10,2020-01-08,1200,01,Central,0182,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 0910 2034 1822,33,M,B,802,MUNICIPAL BUS LINE INCLUDES LADOT/DASH,,,IC,Invest Cont,341,GRAND                        ST,34.0416,-118.262,,OLYMPIC
211204915,2021-01-14,2020-04-25,0001,12,77th Street,1258,2,845,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,,0,X,X,726,POLICE FACILITY,,,AA,Adult Arrest,845,7600 S  BROADWAY,33.9703,-118.2783,,
200104721,2020-01-10,2020-01-10,0700,01,Central,0158,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,600    CERES                        AV,34.0398,-118.2413,,
211613989,2021-12-01,2020-12-14,1905,16,Foothill,1682,2,354,THEFT OF IDENTITY,0928,33,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,11700    PENDLETON                    ST,34.2276,-118.3955,,
200104726,2020-01-10,2020-01-10,1330,01,Central,0162,1,310,BURGLARY,0344 1605 0361 1414,27,M,A,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AA,Adult Arrest,310,800 S  OLIVE                        ST,34.0452,-118.2569,,
200104727,2020-01-10,2020-01-10,1030,01,Central,0134,2,624,BATTERY - SIMPLE ASSAULT,1822 0416,48,M,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,300 S  BROADWAY,34.051,-118.248,,
200312028,2020-05-29,2020-05-29,0125,03,Southwest,0312,1,251,SHOTS FIRED AT INHABITED DWELLING,0329 1202 1822,60,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",102,HAND GUN,IC,Invest Cont,251,2900 S  REDONDO                      BL,34.0271,-118.3585,,
200104734,2020-01-11,2020-01-10,2100,01,Central,0159,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,4TH                          ST,34.0434,-118.2349,,4TH                          PL
200104735,2020-01-11,2020-01-10,2100,01,Central,0138,1,220,ATTEMPTED ROBBERY,0416 1822 1402 1414 1309,30,M,A,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,220,2ND                          ST,34.0503,-118.2433,,LOS ANGELES
200205570,2020-02-01,2020-02-01,1950,02,Rampart,0246,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,WESTLAKE,34.0574,-118.2747,,WILSHIRE
200104736,2020-01-11,2020-01-11,0010,01,Central,0158,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0416 1218 2004 1814 0419,45,F,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,CERES                        AV,34.038,-118.243,,7TH                          ST
200105331,2020-01-20,2020-01-19,0600,01,Central,0124,1,761,BRANDISH WEAPON,1822 1218 0334,54,M,H,101,STREET,214,ICE PICK,IC,Invest Cont,761,200 N  MAIN                         ST,34.0532,-118.2425,,
200104737,2020-01-11,2020-01-11,0040,01,Central,0139,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0411 0429 0416 1402 1414 1822,26,M,H,102,SIDEWALK,200,KNIFE WITH BLADE 6INCHES OR LESS,IC,Invest Cont,230,HEWITT,34.0454,-118.236,998,TRACTION
200104738,2020-01-11,2020-01-11,0040,01,Central,0139,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0411 0429 0416 1402 1822 1414,26,M,H,102,SIDEWALK,200,KNIFE WITH BLADE 6INCHES OR LESS,IC,Invest Cont,230,HEWITT,34.0454,-118.236,998,TRACTION
200104739,2020-01-11,2020-01-10,2335,01,Central,0171,2,624,BATTERY - SIMPLE ASSAULT,0522 1822,28,F,W,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,800 W  OLYMPIC                      BL,34.045,-118.264,,
200104740,2020-01-11,2020-01-10,2100,01,Central,0192,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0913 0407 1218 1414 1820,36,M,H,501,SINGLE FAMILY DWELLING,506,FIRE,IC,Invest Cont,230,1800 S  FLOWER                       ST,34.0353,-118.2698,,
200104741,2020-01-11,2020-01-10,1000,01,Central,0174,1,330,BURGLARY FROM VEHICLE,1307 0344 1609 1822,0,M,H,108,PARKING LOT,,,IC,Invest Cont,330,700 S  MAIN                         ST,34.0439,-118.2514,,
200104742,2020-01-11,2020-01-10,2258,01,Central,0162,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1307 1609 1822,33,F,W,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740,OLIVE,34.0437,-118.2582,,9TH
200104743,2020-01-11,2020-01-09,1400,01,Central,0152,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",2032 0344 1822,27,M,W,101,STREET,,,IC,Invest Cont,341,500 W  6TH                          ST,34.0481,-118.2542,,
200104744,2020-01-11,2020-01-11,0220,01,Central,0111,1,320,"BURGLARY, ATTEMPTED",1607 1822 1414 0329 2004,0,M,W,504,OTHER RESIDENCE,,,IC,Invest Cont,320,700 N  ALAMEDA                      ST,34.0615,-118.2412,,
200104745,2020-01-11,2020-01-10,2345,01,Central,0192,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0417 2004 0329 1822,0,M,W,701,HOSPITAL,,,AA,Adult Arrest,740,1300 S  HOPE                         ST,34.0395,-118.2656,,
200104749,2020-01-11,2020-01-10,2000,01,Central,0148,1,440,THEFT PLAIN - PETTY ($950 & UNDER),2032 0344,48,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,440,600 E  5TH                          ST,34.0438,-118.2416,,
200104750,2020-01-11,2020-01-11,0720,01,Central,0143,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 0910 2004 1414 1307 0913,0,M,W,124,BUS STOP,,,IC,Invest Cont,740,5TH,34.0481,-118.2507,,BROADWAY
200104752,2020-01-11,2020-01-11,1045,01,Central,0158,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 0913 2032,28,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,440,500    CERES                        AV,34.0416,-118.2398,,
200104754,2020-01-11,2020-01-11,1015,01,Central,0145,2,624,BATTERY - SIMPLE ASSAULT,0416 0429 1414,58,F,B,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,LOS ANGELES,34.0461,-118.2476,,5TH                          ST
200104755,2020-01-11,2020-01-11,0954,01,Central,0156,2,624,BATTERY - SIMPLE ASSAULT,1402 0416 1822,51,M,W,102,SIDEWALK,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,624,500 S  SAN PEDRO                    ST,34.0437,-118.2455,998,
200104759,2020-01-11,2020-01-02,1200,01,Central,0138,2,354,THEFT OF IDENTITY,1822 0929 0928 0931,64,F,A,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,200 S  SAN PEDRO                    ST,34.0493,-118.2418,,
200104761,2020-01-11,2020-01-10,1900,01,Central,0154,1,330,BURGLARY FROM VEHICLE,1307 0344 0329 1609 1822,32,M,H,108,PARKING LOT,,,IC,Invest Cont,330,500 S  MAIN                         ST,34.0467,-118.2485,,
200104762,2020-01-11,2020-01-11,0200,01,Central,0192,1,330,BURGLARY FROM VEHICLE,1307 0344 0329 1609 1822 0377,32,M,O,123,PARKING UNDERGROUND/BUILDING,,,IC,Invest Cont,330,1400 S  FIGUEROA                     ST,34.0393,-118.2689,,
200104763,2020-01-11,2020-01-11,0400,01,Central,0105,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,400    CASANOVA                     ST,34.0713,-118.2291,,
200104765,2020-01-11,2020-01-11,0900,01,Central,0195,1,330,BURGLARY FROM VEHICLE,1307 0344 0329 1609 1822 1414,39,M,H,103,ALLEY,,,IC,Invest Cont,330,1600    SANTEE                       ST,34.0309,-118.2618,,
200104766,2020-01-11,2020-01-06,0400,01,Central,0111,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,38,M,H,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740,600 N  FIGUEROA                     ST,34.0627,-118.2463,,
200104768,2020-01-11,2020-01-10,1230,01,Central,0182,2,662,"BUNCO, GRAND THEFT",0800 0701 1900 1916 0344,29,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,662,1000 S  FLOWER                       ST,34.0444,-118.2628,,
200104769,2020-01-11,2020-01-11,1535,01,Central,0111,1,440,THEFT PLAIN - PETTY ($950 & UNDER),2004 1026 0344 1822,38,M,W,102,SIDEWALK,,,IC,Invest Cont,440,CESAR E CHAVEZ,34.0586,-118.2402,,SPRING
200104770,2020-01-11,2020-01-11,1450,01,Central,0147,1,350,"THEFT, PERSON",0344 0444 0416 1218 1822,20,M,W,101,STREET,,,IC,Invest Cont,350,300 E  5TH                          ST,34.0453,-118.2443,,
200104772,2020-01-11,2020-01-11,0005,01,Central,0152,2,624,BATTERY - SIMPLE ASSAULT,1822 0910 0444 0319 0416 0446 1218 2048,57,M,B,903,MTA - RED LINE - 7TH AND METRO CENTER,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,600 S  FIGUEROA                     ST,34.0509,-118.2585,,
